Date,Open,High,Low,Close,Adj Close,Volume
2017-05-30,1071.099976,1074.949951,1053.300049,1072.599976,1011.611084,890684
2017-05-31,1065.800049,1074.449951,1061.050049,1067.000000,1006.329529,2226704
2017-06-01,1067.000000,1099.449951,1061.199951,1095.349976,1033.067505,1782269
2017-06-02,1100.050049,1103.000000,1046.099976,1086.400024,1024.626587,2216247
2017-06-05,1092.000000,1101.300049,1088.000000,1097.750000,1035.331177,612171
2017-06-06,1097.949951,1101.800049,1087.000000,1091.550049,1029.483643,1203091
2017-06-07,1105.199951,1114.250000,1091.500000,1106.349976,1043.442261,2392047
2017-06-08,1106.699951,1115.000000,1088.550049,1093.500000,1031.322754,935574
2017-06-09,1091.000000,1105.400024,1090.000000,1095.349976,1033.067505,691085
2017-06-12,1096.000000,1105.000000,1083.000000,1099.650024,1037.123169,1059705
2017-06-13,1096.000000,1109.349976,1095.050049,1102.750000,1040.046875,1040661
2017-06-14,1105.000000,1119.599976,1094.199951,1113.699951,1050.374023,1139136
2017-06-15,1117.500000,1121.500000,1101.599976,1104.000000,1041.225708,1051935
2017-06-16,1104.000000,1110.849976,1088.449951,1091.800049,1029.719360,1550451
2017-06-19,1094.400024,1101.000000,1090.300049,1095.650024,1033.350342,859068
2017-06-20,1098.849976,1101.000000,1091.099976,1093.050049,1030.898193,1272735
2017-06-21,1094.250000,1129.000000,1093.949951,1123.449951,1059.569824,1411671
2017-06-22,1117.000000,1117.400024,1092.050049,1094.050049,1041.108765,1000211
2017-06-23,1093.900024,1102.750000,1075.000000,1097.900024,1044.772339,1600881
2017-06-27,1096.500000,1114.949951,1087.000000,1092.099976,1039.252808,1809437
2017-06-28,1095.000000,1104.949951,1084.250000,1090.000000,1037.254395,1084236
2017-06-29,1094.650024,1094.650024,1084.250000,1088.099976,1035.446411,1771369
2017-06-30,1085.000000,1092.699951,1064.000000,1079.599976,1027.357910,1501780
2017-07-03,1093.000000,1100.099976,1081.099976,1097.750000,1044.629639,823810
2017-07-04,1104.400024,1112.000000,1083.849976,1088.099976,1035.446411,938993
2017-07-05,1087.000000,1098.000000,1082.050049,1096.699951,1043.630249,364842
2017-07-06,1096.699951,1096.699951,1086.400024,1092.500000,1039.633301,653440
2017-07-07,1091.000000,1109.900024,1089.800049,1097.699951,1044.581909,780216
2017-07-10,1102.500000,1104.949951,1090.000000,1096.250000,1043.202271,123910
2017-07-11,1102.000000,1112.949951,1097.000000,1106.449951,1052.908325,1088867
2017-07-12,1110.000000,1138.400024,1105.000000,1131.650024,1076.889160,1749266
2017-07-13,1134.699951,1139.900024,1131.000000,1134.699951,1079.791504,1390586
2017-07-14,1135.000000,1144.949951,1125.300049,1139.300049,1084.168945,1430776
2017-07-17,1140.000000,1156.000000,1130.050049,1152.949951,1097.158203,1177146
2017-07-18,1153.250000,1169.800049,1147.300049,1157.849976,1101.821289,3322231
2017-07-19,1190.000000,1195.050049,1135.500000,1154.349976,1098.490479,4799441
2017-07-20,1155.449951,1161.050049,1145.000000,1152.900024,1097.110840,1295206
2017-07-21,1158.900024,1164.199951,1145.000000,1158.650024,1102.582397,1690899
2017-07-24,1162.000000,1164.300049,1154.050049,1159.349976,1103.248535,1102676
2017-07-25,1155.550049,1161.000000,1143.000000,1149.599976,1093.970703,1686360
2017-07-26,1154.000000,1167.000000,1141.349976,1164.550049,1108.197144,1563285
2017-07-27,1163.800049,1192.449951,1162.150024,1171.900024,1115.191406,2090566
2017-07-28,1168.599976,1168.599976,1141.599976,1153.849976,1098.014771,860381
2017-07-31,1159.949951,1162.599976,1142.099976,1155.750000,1099.822754,955459
2017-08-01,1154.000000,1176.900024,1154.000000,1173.949951,1117.142212,1359063
2017-08-02,1174.000000,1175.000000,1159.699951,1168.750000,1112.193848,587711
2017-08-03,1165.500000,1179.599976,1158.000000,1169.900024,1113.288208,597333
2017-08-04,1162.000000,1196.300049,1162.000000,1192.099976,1134.413818,1116836
2017-08-07,1173.000000,1193.099976,1171.349976,1186.300049,1128.894653,868190
2017-08-08,1181.699951,1209.000000,1181.000000,1191.000000,1133.367310,1329938
2017-08-09,1189.500000,1195.500000,1176.349976,1185.349976,1127.990479,833002
2017-08-10,1174.849976,1183.599976,1166.199951,1170.699951,1114.049316,699787
2017-08-11,1160.050049,1174.800049,1143.550049,1152.800049,1097.015625,861457
2017-08-14,1154.500000,1169.900024,1147.199951,1155.699951,1099.775269,526828
2017-08-16,1151.000000,1190.599976,1151.000000,1186.349976,1128.942261,1366648
2017-08-17,1185.000000,1185.000000,1165.000000,1177.300049,1120.330200,961319
2017-08-18,1170.000000,1206.300049,1169.449951,1202.199951,1144.025146,1407292
2017-08-21,1202.300049,1208.000000,1182.349976,1191.449951,1133.795288,965962
2017-08-22,1206.300049,1207.349976,1188.050049,1199.599976,1141.550903,916218
2017-08-23,1195.099976,1195.449951,1183.000000,1188.150024,1130.655029,831796
2017-08-24,1188.000000,1189.699951,1175.300049,1179.699951,1122.613892,780599
2017-08-28,1181.349976,1202.849976,1178.750000,1199.699951,1141.646118,630713
2017-08-29,1195.150024,1198.550049,1183.000000,1190.449951,1132.843628,1002082
2017-08-30,1197.500000,1209.599976,1187.250000,1204.300049,1146.023560,666156
2017-08-31,1201.849976,1222.800049,1194.300049,1219.750000,1160.725952,1425125
